Name,encoding,Status
Adel Emam,"-0.0843273289501667,0.056556446477770805,-0.0031471659895032644,0.028232073411345482,-0.0011382729280740023,-0.026731973979622126,0.006070623407140374,-0.10872356407344341,0.16056331619620323,-0.05390606261789799,0.23748423159122467,0.05289756413549185,-0.2762511819601059,-0.12514107301831245,0.049260721541941166,0.06935208663344383,-0.13637017272412777,-0.08084537647664547,-0.1032079216092825,-0.043157584965229034,0.09202625416219234,0.025951809395337477,0.09264756552875042,-0.0038783944910392165,-0.20731431990861893,-0.28126438707113266,-0.1087268628180027,-0.10343550145626068,0.03050117939710617,-0.0335508338175714,-0.01333908038213849,0.06162039749324322,-0.19121673703193665,-0.0699922926723957,0.07446960173547268,0.07773725222796202,-0.052052594255656004,-0.023277802276425064,0.178825993090868,0.0006831688806414604,-0.1883799508213997,-0.03153480589389801,0.03515737131237984,0.218251034617424,0.2147514745593071,0.01494532241486013,0.020542812068015337,-0.06456863973289728,0.10152327455580235,-0.24149489402770996,0.05676401872187853,0.15415501222014427,0.1569174937903881,0.05373905226588249,0.09003091976046562,-0.2046051248908043,0.040884922724217176,0.1405871883034706,-0.24505740031599998,0.02288007491733879,0.021246358868665993,-0.0987909696996212,-0.04242958780378103,0.020394740160554647,0.10894081182777882,0.10458608902990818,-0.13433384709060192,-0.14926079660654068,0.15754782408475876,-0.15687378123402596,0.046618957072496414,0.18845538422465324,-0.1482502818107605,-0.24525117129087448,-0.2870109975337982,-0.03280488424934447,0.4542049840092659,0.11285480111837387,-0.12616697885096073,0.008050140226259828,-0.11428186669945717,-0.015889041824266315,0.01915082341292873,0.021777879097498953,-0.0778399258852005,-0.014656237559393048,-0.13267952390015125,0.047463546972721815,0.15592685341835022,-0.0066980100236833096,-0.07142801769077778,0.19421590492129326,-0.008276131935417652,-0.0012199932243674994,0.054192633368074894,0.06584519241005182,-0.09597825072705746,-0.05807159887626767,-0.08936237543821335,-0.05737861548550427,-0.023267973447218537,-0.16437427699565887,-0.0009242328815162182,0.08872578013688326,-0.17974505573511124,0.1694531925022602,0.015789489494636655,-0.00020832335576415062,-0.01869517983868718,-0.0556123498827219,-0.07429835572838783,0.03634959552437067,0.11430874280631542,-0.3261082172393799,0.19390539824962616,0.1550552248954773,-0.018251356319524348,0.15751800686120987,-0.011159033747389913,0.06308387033641338,-0.07283862307667732,-0.04351485869847238,-0.1776111088693142,-0.10060935840010643,-0.028249378316104412,-0.03301499329973012,0.0918839517980814,-0.030376429203897715",Known person(Actor)
Ahmed Helmy,"-0.10301677137613297,0.0748301811516285,0.06803132966160774,0.0034156677778810264,-0.030043269880115984,-0.036504564061760905,-0.03651273436844349,-0.03764593079686165,0.16575701236724855,-0.09147948175668716,0.2367395579814911,-0.011022591590881347,-0.1499619036912918,-0.028075123950839043,-0.06810259521007538,0.10588442534208298,-0.08686820045113564,-0.07639726474881173,-0.13193607181310654,-0.08039220720529557,-0.03816855475306511,0.03928995691239834,0.005173557717353105,-0.019695955514907836,-0.1324654072523117,-0.3560043752193451,-0.0671078622341156,-0.07085097730159759,0.08847454637289047,-0.09165680259466172,0.0059295186772942545,0.04403361734002829,-0.1276986464858055,-0.02695549316704273,0.05789131969213486,0.07934348434209823,-0.011087580770254134,-0.020352725964039566,0.24171414971351624,0.05056729316711426,-0.1313680201768875,0.08404869735240936,0.08085999861359597,0.352732390165329,0.17225827574729918,0.04495634324848652,0.011283230409026146,-0.09533567726612091,0.13989573270082473,-0.23103464543819427,0.09733643233776093,0.13342512249946595,0.09651903808116913,0.04929915331304073,0.1452805981040001,-0.10782386660575867,0.023537803813815115,0.11336483806371689,-0.1950402081012726,0.09174453765153885,0.07817484587430953,0.05474361218512058,-0.06386955082416534,-0.03856437811627984,0.19859490990638734,0.1246719315648079,-0.13044541329145432,-0.09536164849996567,0.12245636135339737,-0.17259083390235902,0.04598647952079773,0.03235636241734028,-0.08953249752521515,-0.15951870381832123,-0.220226514339447,0.09528421461582184,0.43232262134552,0.1739027887582779,-0.14869543313980102,0.03607076406478882,-0.03753224201500416,-0.08416355103254318,0.08764171749353408,0.04203565455973148,-0.15297361016273497,-0.05966117680072784,-0.020843638107180595,0.045496176555752756,0.19055191278457642,0.08323858082294464,-0.008277984522283077,0.17461630702018738,0.0031498637050390243,-0.030144725181162357,-0.012005840428173542,-0.022690754383802414,-0.1756739318370819,-0.03410701379179955,-0.12111826241016388,-0.045386388152837756,0.02984369918704033,-0.09265841543674469,0.05213907659053803,0.10992076098918915,-0.2259368598461151,0.1594577431678772,-0.011749700596556067,-0.024986680969595908,0.10102397128939629,0.12097899913787842,-0.08108405917882919,-0.042593317851424214,0.13788063377141951,-0.21495753824710845,0.18153810501098633,0.1179469496011734,0.07043584659695626,0.1061547577381134,0.11126618236303329,0.06457660496234893,0.03272960912436247,0.0949978768825531,-0.10140086933970452,-0.06358009241521359,-0.05407990962266922,-0.06303884834051132,0.06612719893455506,0.011973360925912857",Known person(Actor)
ahmed mekky,"-0.06773606929928064,0.04526941142976284,-0.0016425400972366333,-0.09529482871294022,-0.07280238270759583,-0.0023463319987058638,0.04083454273641109,-0.07870249077677727,0.1621916860342026,-0.02260100804269314,0.18588489592075347,0.01445627324283123,-0.22717998325824737,-0.0675183292478323,0.028844526410102843,0.09339115470647812,-0.1037949040532112,-0.12729108184576035,-0.11871275454759597,-0.09496135339140892,-0.055398867651820186,-0.023939949832856654,0.05126573704183102,0.05631634239107371,-0.15432987809181214,-0.2808192431926727,-0.03832386936992407,-0.10083609074354172,0.0383630272001028,-0.13666466474533082,0.0319581463932991,0.05447571678087115,-0.1600641444325447,-0.08744602389633656,-0.007612148299813271,0.09138929843902588,-0.08746903650462627,-0.11867519617080688,0.24276407063007355,0.027340499311685564,-0.1500380590558052,0.08472038581967353,-0.001187462732195854,0.3199018776416779,0.16495360136032106,-0.03246145325247198,0.0697272315621376,-0.07311136648058891,0.1415737345814705,-0.2578790247440338,0.11303939819335937,0.0694013588130474,0.1540403515100479,0.022921191342175008,0.05629874095320701,-0.16940962970256807,0.03597545772790909,0.1822234034538269,-0.21940417289733888,0.10125789344310761,0.06159757673740387,-0.0453434843569994,-0.03474950846284628,-0.0845129605382681,0.22680246233940124,0.1462728887796402,-0.12804450690746308,-0.07463890984654427,0.1266447462141514,-0.06894330307841301,-0.05187008157372475,0.01556233111768961,-0.1055773988366127,-0.17129611670970918,-0.2690732508897781,0.10991035401821136,0.3085870504379272,0.15027437210083008,-0.22616434395313262,-0.0019409788772463798,-0.11133071556687354,0.06274183914065361,0.029904883354902267,0.056202956661581996,-0.12888716757297516,-0.05469984114170075,-0.0794669084250927,-0.002376232296228409,0.15079925060272217,0.02388821020722389,-0.09784294962882996,0.1750013053417206,0.037892846763134,-0.003934280201792717,0.036927555128932,0.030963627994060515,-0.15497745275497438,0.02217835895717144,-0.11957590281963348,-0.007545841485261917,0.08522118292748929,-0.11987404972314834,0.05099379196763039,0.12233788669109344,-0.23179336488246918,0.22478211522102357,-0.001900799013674259,-0.012544447928667069,0.07482174411416054,0.03145459443330765,-0.052042719721794126,-0.009200186096131801,0.1453236699104309,-0.30519272685050963,0.21958338916301728,0.18980177044868468,0.05485371090471745,0.16733958423137665,0.09677634611725808,0.04390283152461052,4.3072551488876345e-05,0.07101384289562702,-0.16444067358970643,-0.03890756890177727,0.06503527015447616,0.005296165123581886,0.08713491708040237,0.10483219772577286",Known person(Actor)
Amina Khalil,"-0.04404251161031425,0.13609509356319904,0.07106322422623634,-0.06083271745592356,-0.08882910758256912,-0.013716348563320935,-0.11178571544587612,-0.11125190928578377,0.18338395655155182,-0.12890946678817272,0.10920473001897335,-0.00495660025626421,-0.17465396597981453,0.11181973852217197,-0.08660302311182022,0.1265800315886736,-0.160630464553833,-0.17665856704115868,-0.04640853498131037,-0.03354431386105716,0.05558200180530548,0.06690675020217896,0.015919533325359225,0.11717316694557667,-0.15563368052244186,-0.3305904194712639,-0.07292324863374233,-0.031082219909876585,0.07877283543348312,-0.08959819748997688,-0.06633677892386913,0.06453000754117966,-0.19564491137862206,0.03141322289593518,0.05375857790932059,0.11196956597268581,-0.04883679747581482,-0.09070868417620659,0.19500929862260818,0.09609842672944069,-0.23578086495399475,-0.025164487306028605,0.05190941225737333,0.2596618980169296,0.23619600385427475,-0.0012477030977606773,0.08271510899066925,-0.12904747016727924,0.10454609245061874,-0.2797901928424835,0.06669372413307428,0.19532650336623192,0.03284562868066132,0.1298306193202734,0.08152430690824986,-0.1687798760831356,-0.004509394522756338,0.09630175121128559,-0.1303063314408064,0.07478655315935612,0.07479301281273365,-0.015645662788301706,-0.015344207175076008,-0.050815252121537924,0.22327762469649315,0.15133217349648476,-0.08715523220598698,-0.2151605747640133,0.21981365233659744,-0.22619182243943214,-0.11450926400721073,0.11189598869532347,-0.05935637792572379,-0.13266925513744354,-0.20887989550828934,-0.024575932417064905,0.38021235167980194,0.17871157079935074,-0.13777522556483746,0.09068306162953377,-0.07101794052869081,-0.059915645979344845,0.016054513165727258,0.11101679131388664,-0.08851650729775429,0.07902036793529987,-0.03607111354358494,0.05697077792137861,0.2817099317908287,0.04431878449395299,-0.013211359968408942,0.2141541987657547,0.015442128526046872,-0.0027198721654713154,0.08684440748766065,0.09962308779358864,-0.15784234553575516,-0.02310091070830822,-0.18335899710655212,-0.10834359005093575,0.009318022290244699,-0.0007479498162865639,-0.008732084883376956,0.19185351207852364,-0.2104673646390438,0.2267993688583374,-0.07906450051814318,-0.062126925913617015,0.007654840825125575,0.06326132221147418,-0.08172057941555977,-0.04723431239835918,0.1545356884598732,-0.23754113912582397,0.15134918317198753,0.1317941714078188,0.05114639806561172,0.08717539720237255,0.04205990245100111,0.09306398779153824,0.037453182972967625,-0.031037028413265944,-0.1449208240956068,-0.09150766301900148,0.01944942190311849,-0.06061026966199279,-0.013833313714712858,0.007281352183781564",Known person(Actress)
Amr el soulia,"-0.029711071122437715,0.09695069715380669,0.04431344103068113,-0.030330315232276917,-0.06771559864282609,-0.012419725209474564,-0.01776376198977232,0.02172874053940177,0.1817039042711258,-0.0019131582230329514,0.18345162272453308,0.02206974308937788,-0.20452823638916015,-0.1331607848405838,-0.011915884166955947,0.09303642064332962,-0.1529853582382202,-0.12862795740365982,-0.026535466872155668,-0.08180247992277145,0.011833483166992665,0.03795296810567379,0.02655937671661377,0.04884186238050461,-0.16941971182823182,-0.33598548769950864,-0.0281206076964736,-0.18195258677005768,0.03836304154247046,-0.14719746708869935,0.04522867612540722,0.13643750697374343,-0.15932016670703888,-0.04213772937655449,0.02577093690633774,0.12004640400409698,0.0638741172850132,0.011766484566032886,0.17482375204563141,0.06829145811498165,-0.14909573793411254,0.07243945896625519,-0.011096424236893655,0.3144706726074219,0.14285819828510285,0.03596929535269737,0.03147597834467888,-0.004558161273598671,0.15708115696907043,-0.24158175587654113,0.15044569373130798,0.1420913740992546,0.13591006845235826,0.026623712480068208,0.09064349383115769,-0.15170457512140273,-0.00928189605474472,0.08029903471469879,-0.25286166071891786,0.060312896873801945,0.06280573233962058,-0.002372553199529648,-0.05346832759678364,-0.05748527050018311,0.1490727648139,0.10137308835983276,-0.10342840552330017,-0.08019565790891647,0.12714039981365205,-0.13875153064727783,-0.0070029087364673615,0.09856910407543182,-0.09441554844379425,-0.09761005342006683,-0.2134965628385544,0.12526566237211229,0.3821942389011383,0.1465579777956009,-0.17247883081436158,0.0017721951007843018,-0.11809577494859695,0.0014212687034159898,-0.0060304376063868405,-0.02310746379662305,-0.08981913328170776,-0.009418408572673797,-0.07308071404695511,0.03303558230400085,0.11695526540279388,0.04335980713367462,-0.03826282992959022,0.16337374746799468,-0.005107568576931953,0.029896413348615168,0.01305552152916789,-0.013935486320406199,-0.08495560064911842,-0.0013070808723568915,-0.09872602075338363,-0.013201835751533508,-0.000847485288977623,-0.12718331813812256,-0.030245811119675635,0.02614548336714506,-0.22037475407123566,0.12788445204496385,0.02238223128952086,-0.05109291672706604,0.004604090191423893,0.11011362075805664,-0.11835948824882507,-0.012008473905734719,0.1768331691622734,-0.30208917856216433,0.25149909853935243,0.13451309949159623,0.021482197940349577,0.1583316445350647,0.04625314064323902,0.08355115056037903,-0.02965166252106428,-0.09973914921283722,-0.07219103574752808,-0.12486162334680558,0.05260965544730425,-0.01614084169268608,0.03693486880511045,0.015361827705055476",Known person(Football player)
asmaa galal,"-0.14369573146104814,0.060296140424907205,0.0657981026917696,-0.09122933745384217,-0.1059528797864914,-0.1223569393157959,-0.06841226518154145,-0.1204490453004837,0.18988997638225555,-0.12145608440041541,0.11248569637537002,-0.044053423777222635,-0.21269879043102263,0.06655259914696217,-0.14720577448606492,0.13008803129196167,-0.19645575881004335,-0.14583854973316193,-0.018186257779598237,-0.017800415866076946,0.13833899348974227,-0.046618609130382536,0.010544734261929988,0.15171373933553695,-0.09321915432810783,-0.2670902729034424,-0.12746875435113908,-0.07213751077651978,-0.060172054916620255,-0.07294401675462722,0.030767871253192424,0.07708687894046307,-0.2176642596721649,-0.032807855680584905,-0.015364821255207061,0.1460885673761368,0.058348816260695456,-0.08022296354174614,0.14615035206079482,0.00010417923331260682,-0.24246762990951537,-0.07461832463741302,0.09340925887227058,0.2764803946018219,0.13125526905059814,0.007689637690782547,0.03420626111328602,-0.04045955091714859,0.11936902105808259,-0.2620180517435074,0.015845922566950322,0.1710027426481247,0.06600134372711182,0.04046801384538412,0.10954153686761856,-0.17290205657482147,0.13251811414957046,0.06364736631512642,-0.14437999725341796,0.05491860061883926,0.07948874160647393,-0.08375734761357308,-0.0032655748538672922,-0.038467873260378836,0.19240986704826354,0.10641386210918427,-0.06547777354717255,-0.16541681289672852,0.20726252496242523,-0.2110176056623459,-0.060078955441713336,0.09745476245880128,-0.13440663516521453,-0.18479250073432923,-0.27881638407707215,-0.060681045055389404,0.3888961136341095,0.166184663772583,-0.120919169485569,0.1475761592388153,-0.06871403194963932,-0.032122247479856016,0.0217005904763937,0.17806760966777802,-0.0017858806997537613,0.2099086970090866,-0.13813590109348298,0.08344504274427891,0.1919653058052063,-0.027693605236709117,0.023144900612533093,0.25403244197368624,0.03458977416157723,-0.05548916086554527,0.056029561813920735,0.032808154448866846,-0.09075337424874305,-0.008173943124711513,-0.18538297414779664,0.0029626333154737948,0.0453770475462079,-0.012601643800735474,-0.06854384914040565,0.06664773896336555,-0.20813336074352265,0.04717787392437458,-0.0540352638810873,-0.07674853131175041,-0.14562886357307434,-0.031747134029865266,-0.09965204298496247,-0.0387465693987906,0.14299761801958083,-0.22587042450904846,0.10677407085895538,0.19062620103359224,0.003024796862155199,0.10283178836107254,0.005162102077156306,0.05827646479010582,0.05584443546831608,-0.08209663107991219,-0.10758388936519622,-0.07530948296189308,0.015728038176894187,-0.06323891505599022,-0.020924850925803186,0.01382065424695611",Known person(Actress)
cristiano ronaldo,"-0.17277155816555023,0.1370518058538437,0.051751495152711866,-0.04731576070189476,-0.11850923299789429,0.06482284143567085,-0.011876145005226135,-0.03126574326306582,0.113590507209301,0.0146757323294878,0.22993969023227692,-0.03599647954106331,-0.32171820402145385,-0.022876635193824768,-0.10695280581712723,0.11359552592039109,-0.159135103225708,-0.10177599787712097,-0.10452172756195069,-0.09026055783033371,0.07877664752304554,0.010945284087210894,0.0019402913749217987,0.06792564243078232,-0.1379571318626404,-0.2652892112731934,0.0062566142529249195,-0.1222555011510849,0.045281775668263434,-0.17007191181182862,-0.024038028344511984,-0.018398163025267422,-0.1891953945159912,-0.07537217587232589,-0.05598118826746941,0.02809913456439972,-0.020409734803251922,-0.06150481179356575,0.204503658413887,-0.02106984369456768,-0.14389094561338425,0.045556583628058436,0.008654126897454262,0.32054800987243653,0.16844190359115602,0.025599953904747962,0.05491825863718987,-0.05686590932309628,0.11578829884529114,-0.29180011749267576,0.025381262972950937,0.17430253326892853,0.11415886133909225,0.0090688431635499,-0.0009802039712667465,-0.17755454480648042,-0.02481498457491398,0.16021367609500886,-0.18693108558654786,0.12692664414644242,0.0666563168168068,-0.0677584946155548,0.004440823569893837,-0.08256822973489761,0.18377505242824554,0.06779896132647992,-0.10677645206451417,-0.10597907900810241,0.12945680171251298,-0.08882665187120438,0.008660114742815495,0.10047717690467835,-0.12133240550756455,-0.2038419783115387,-0.23653780817985534,0.08505386933684349,0.4375345230102539,0.1475909322500229,-0.13156502693891525,0.035928570106625556,-0.15929292440414428,0.015763094648718834,0.03189683184027672,-0.01048375377431512,-0.11562572568655013,0.008523322828114032,-0.13448996990919113,0.10764568597078324,0.1886248528957367,-0.020922283641994,-0.03621141724288464,0.19743845164775847,0.050708014890551566,-0.04318588878959417,0.047011249512434,0.08192297741770745,-0.12422302812337875,-0.0013777724467217921,-0.08114943653345108,0.01974700838327408,0.03292273357510567,-0.14150286018848418,0.0708915002644062,0.03299487438052893,-0.16380296945571898,0.11153161525726318,-0.020135165005922318,0.007158336415886879,-0.05431403815746307,-0.024195285886526106,-0.09212208241224289,0.035248060896992686,0.20407254099845887,-0.26223339438438414,0.19660065472126007,0.17575674653053283,0.04850002154707909,0.14285940080881118,0.09695616215467454,0.03470983281731606,-0.013124067336320877,-0.003570131212472916,-0.09950347617268562,-0.0792638823390007,0.08537400513887405,-0.022649196349084376,0.15215966999530792,0.046149222552776335",Known person(Football player)
Cruyff,"-0.09627242237329484,0.11990050673484802,0.061310043931007384,-0.10954885631799698,-0.18780869245529175,0.034515264257788655,-0.06691793128848075,-0.14589696675539016,0.1272873565554619,-0.13229206651449205,0.17694247663021087,0.03628694005310536,-0.17791427075862884,0.03020903579890728,0.041504344902932644,0.10531482696533204,-0.105057393014431,-0.13680344820022583,-0.1581852063536644,-0.17003173232078553,-0.08932608664035797,0.02598451655358076,-0.03319253101944923,0.03539012037217617,-0.14964791238307953,-0.22257575690746306,-0.08283788114786148,-0.04575144164264202,0.1254323109984398,-0.07081545814871788,0.021874883398413657,-0.028630725853145123,-0.21216796934604645,-0.06119546964764595,0.061243560165166855,0.06333486214280129,-0.0681353285908699,-0.05218951925635338,0.22592474520206451,-0.027261332049965857,-0.14375438988208772,0.08267964869737625,0.08122344613075257,0.23174724876880645,0.15557819306850434,0.012973681278526782,0.06816514879465103,-0.0637737475335598,0.1733685851097107,-0.1900004267692566,0.05520987957715988,0.11758416742086411,0.13432411551475526,0.05279296524822712,0.04009909247979522,-0.16048955619335176,0.011658621765673161,0.19580739438533784,-0.17089695036411284,0.1518768474459648,0.13015158027410506,-0.13166324645280839,-0.12379280924797058,-0.038299883529543874,0.2037132740020752,0.12049400955438613,-0.1165009543299675,-0.2268301725387573,0.1572347491979599,-0.11007375568151474,-0.06474789083003998,0.074574064463377,-0.10301533937454224,-0.11550429165363311,-0.2476574331521988,0.09074911624193191,0.4221646189689636,0.14797643423080445,-0.19807998239994049,-0.0035179297439754008,-0.04660174995660782,0.011973172426223755,0.04474686626344919,0.04794326461851597,-0.08298281058669091,-0.1049501821398735,-0.030496253073215483,0.07692770883440972,0.24271049499511718,-0.0013245554640889169,-0.017878887616097926,0.16532725393772124,0.057958870008587834,0.027941197156906128,-0.042496309895068404,0.08104256838560105,-0.17123036086559296,-0.044441168755292894,-0.09714850932359695,-0.002192074805498123,0.06640989668667316,-0.019234401918947697,0.06616213396191598,0.12562593072652817,-0.18042346835136414,0.25968618094921114,-0.04018029905855656,-0.018957921490073203,-0.0299635112285614,0.06215646229684353,-0.06883936580270529,-0.005621295794844628,0.17248789966106415,-0.24571601748466493,0.24651991724967956,0.20039353668689727,-0.0043996647000312805,0.09671950042247772,0.11625054478645325,0.02607003357261419,0.07431991100311279,0.06213688999414444,-0.1444542735815048,-0.16846934258937835,0.01612422224134207,-0.10217590034008026,0.0887646235525608,0.05290383324027061",Known person(Football player)
Donia Samir Ghanim,"-0.15793058772881827,0.08723024154702823,0.031202889202783506,-0.08304870252807935,-0.10984037940700848,-0.04973794729448855,-0.05130282510071993,-0.1453678235411644,0.24975132942199707,-0.1382732813556989,0.14814438670873642,-0.08109069056808949,-0.1976240947842598,0.044084620041151844,-0.06935432429114978,0.15234765162070593,-0.15956684947013855,-0.14539913708964983,-0.02420406478146712,-0.07638225642343362,0.11018154273430507,0.028499694541096687,-0.018846755536894005,0.17779075354337692,-0.18002022554477057,-0.3658268203337987,-0.05660460299501816,-0.0533258014669021,-0.01590875784556071,-0.12125614657998085,0.03241821719954411,0.10049694528182347,-0.2235357811053594,-0.019062462262809277,0.007646267147113879,0.18518610298633575,-0.025208848683784407,-0.10390075544516246,0.10968795542915662,0.013734270663311085,-0.2548956995209058,-0.04182492848485708,0.08525240545471509,0.2714020361502965,0.20855318009853363,-0.013463487460588416,-0.007040831260383129,-0.14310393730799356,0.13548727706074715,-0.2597876737515132,0.017374044749885798,0.14857706551750502,-5.505916972955068e-05,0.09454165274898212,0.10761051873366038,-0.16376501445968947,0.06661914971967538,0.04579414427280426,-0.2196501543124517,-0.015267398169574639,0.07410602543192606,-0.07189871991674106,0.002416684292256832,-0.07637059253950913,0.151485255608956,0.13442972426613173,-0.053791564578811325,-0.1538404698173205,0.16105343525608382,-0.25262374182542163,-0.04413910877580444,0.09297332043449084,-0.06609999760985374,-0.2268678272763888,-0.2870249922076861,-0.020129738996426266,0.3118165483077367,0.21239566057920456,-0.12617326031128565,0.11069189632932346,-0.01029333658516407,-0.011929002668087682,0.06096883583813906,0.1377976251145204,0.01058211363852024,0.07602723004917304,-0.06483517649273078,0.09717661452790101,0.1802542805671692,0.014859001928319534,0.029820677960136283,0.2857593446969986,0.00034795251364509266,-0.07101859586934249,0.07311752252280712,0.10530161981781323,-0.20758458723624548,0.03495119387904803,-0.16280836363633475,-0.06904280930757523,0.0508972325672706,0.034095357482632004,0.03810161856623987,0.09818003575007121,-0.24431791404883066,0.20877636720736822,-0.050022374760980405,-0.05637900531291962,-0.027599784235159557,-0.039926724353184305,-0.05637295916676521,-0.019765303159753483,0.13833675409356752,-0.24200765043497086,0.14876128484805426,0.13013357917467752,0.01887041617495318,0.19613187511761984,0.005762308758373062,0.06796390532205503,0.003318089060485363,-0.0664596149387459,-0.12104606442153454,-0.02072237249619017,0.012339791360621652,-0.05955087145169576,-0.005086151417344809,-0.0017141286904613178",Known person(Actress)
Fouad el mohandes,"-0.07553574740886689,0.09511826671659947,0.08262543603777886,0.05529142618179321,0.0072453978005796674,-0.028881996870040894,-0.026282604038715362,-0.166424959897995,0.12122418880462646,-0.10651814788579941,0.206146240234375,-0.019572940282523633,-0.17247050404548644,-0.052764247311279176,-0.025140813458710908,0.12073747217655181,-0.11546070277690887,-0.12721056640148162,-0.10457431972026825,-0.0691228698939085,0.04979364573955536,0.005224608606658876,0.041992836724966766,-0.007158762589097023,-0.12849492579698563,-0.3134733855724335,-0.0942513644695282,-0.13034089654684067,0.046862564608454706,-0.07028925493359565,-0.009628492966294288,-0.013900321628898381,-0.16897955685853958,0.023545343056321145,-0.0032137844711542128,0.07523460984230042,-0.02816503755748272,-0.073626459389925,0.22396389544010162,0.00017373356968164444,-0.14940494298934937,0.0635870922356844,0.08930137902498245,0.19878569841384888,0.1811494290828705,0.016763670789077877,0.024354825541377068,-0.09535449892282485,0.08275290057063103,-0.17398447394371033,0.08418633341789246,0.13770998567342757,0.11416881829500199,0.1124057799577713,0.08486298993229865,-0.18080877065658568,0.017989787831902505,0.05699851177632809,-0.17216764390468597,0.10202313661575317,0.087858285009861,-0.014900312200188637,-0.036828071996569636,0.029210430732928217,0.19973385632038115,0.12627387195825576,-0.13465292304754256,-0.08566988632082939,0.14820751547813416,-0.1490958034992218,-0.021936750784516335,0.004877436347305775,-0.13483129888772966,-0.17251039147377015,-0.26389645636081693,0.06987849622964859,0.42971336245536806,0.11948608905076981,-0.16488830596208573,0.008693902008235454,-0.09354927912354469,-0.046663935855031015,0.02810712344944477,0.06416950821876526,-0.10807563811540603,-0.05097251646220684,-0.08622026294469834,0.05283676385879517,0.17722652554512025,0.0467585064470768,-0.03555990792810917,0.18917172253131867,-0.047362306341528895,-0.0033584685996174814,-0.022374004870653153,0.05066502206027508,-0.1441901743412018,-0.02562745288014412,-0.11072438508272171,-0.06024586111307144,0.008645595237612724,-0.09785976260900497,0.0028701587580144405,0.13123834133148193,-0.1944883644580841,0.13268628120422363,-0.004678018763661385,-0.03277359213680029,0.025929289869964123,0.09100737422704697,-0.13839231729507445,0.006508232653141021,0.1308971330523491,-0.19713687002658845,0.2331328272819519,0.1517932876944542,0.06868775114417076,0.10972960144281388,0.11645276844501495,0.10781020820140838,0.009754645079374314,0.023049669340252876,-0.18678492903709412,-0.07400390654802322,-0.026481900364160538,0.011456070467829704,0.05290800742805004,0.07929630726575851",Known person(Actor)
